"","log2FoldChange","padj","Factor"
"ko:K00024",-0.488253946568418,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.611566114856463,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.217760101896581,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00134",2.15955587377223,0.241958159975776,"Menthol_Menthol_vs_Control"
"ko:K00140",-0.165230810205392,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00207",0.366295902898142,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.334573787332819,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00249",-0.00703356998942014,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00262",0.0269055729156124,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00331",0.215672547540048,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.688088747936304,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K00338",0.669358099791878,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00357",0.446397246965667,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00411",0.110374022856533,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00413",0.408464867163944,0.988062050613687,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.658866330258801,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K00469",0.110996630881764,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00500",0.140378458391836,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.937065664670251,0.0707766075831936,"Menthol_Menthol_vs_Control"
"ko:K00544",0.0904620462594159,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.83621274328542,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K00643",0.375280548452268,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K00789",0.0847826172998527,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.49320612147715,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.473496860005224,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00819",0.632478432947507,0.306844549016718,"Menthol_Menthol_vs_Control"
"ko:K00856",0.0989899576505775,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.17471833191427,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.516099714447133,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K00940",0.223352806032634,0.970548347181579,"Menthol_Menthol_vs_Control"
"ko:K00966",-1.93914482953871,0.920415041130739,"Menthol_Menthol_vs_Control"
"ko:K00967",0.336031269651835,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K01070",-0.706074197372387,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01206",-0.00484540430774904,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K01251",1.12743938317295,0.306844549016718,"Menthol_Menthol_vs_Control"
"ko:K01363",0.30998013560787,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0421221555185852,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K01379",0.132039564697167,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.501609526888144,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01596",0.722480879335028,0.178964449598714,"Menthol_Menthol_vs_Control"
"ko:K01623",-0.922216060086415,0.241958159975776,"Menthol_Menthol_vs_Control"
"ko:K01681",-0.182309468538206,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01689",0.619909135215295,0.560114855446514,"Menthol_Menthol_vs_Control"
"ko:K01697",-0.087427348716022,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K01758",0.235144480337896,0.993387168659257,"Menthol_Menthol_vs_Control"
"ko:K01875",0.308933493591927,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01881",0.650843442335096,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.376144933269704,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.254627636730487,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.522981199173518,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.191732313052244,0.996212935182115,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.735243817603337,0.339191987102541,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.603037310205324,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.07389255208823,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.118324960495174,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.879104404241037,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02149",0.0578178680792542,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02152",-0.0538608867303076,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.30837136010975,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K02183",0.268811406103257,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K02219",0.495125524539899,0.970548347181579,"Menthol_Menthol_vs_Control"
"ko:K02267",-1.10805857223784,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02437",-0.00216970750463909,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02503",-1.41805652603016,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02635",-0.133668935786978,0.998795643598265,"Menthol_Menthol_vs_Control"
