up:P62489	rno:117017
up:Q7ZW41	dre:324088
up:Q8BU31	mmu:72065
up:P61227	rno:170923
up:P10114	hsa:5911
up:P28074	hsa:5693
up:P28075	rno:29425
up:O55234	mmu:19173
up:Q32KL2	bta:534640
up:Q5W416	cfa:474865
up:P28062	hsa:5696
up:P28063	mmu:16913
up:Q3T112	bta:282013
up:P28064	rno:24968
up:Q54BC8	ddi:DDB_G0293784
up:Q6P2Z0	xtr:394895
up:Q5ZLT7	gga:424073
up:Q7L1Q6	hsa:9689
up:Q5R7L4	pon:100173292
up:Q8AVM7	xla:379983
up:Q9WTT7	rno:171439
up:Q91VK1	mmu:66912
up:Q6PD83	dre:325226
up:Q9Y6E2	hsa:28969
up:Q5ZL42	gga:420594
up:Q1LUC1	dre:393892
up:Q803N9	dre:406812
up:Q9VNE2	dme:Dmel_CG2922
up:Q9D1I5	mmu:73724
up:Q96PE7	hsa:84693
up:Q2KIZ3	bta:508170
up:Q553V2	ddi:DDB_G0275181
up:Q5HBV6	eru:Erum2190
up:Q5HBV6	erw:ERWE_CDS_02210
up:Q3YSN4	ecn:Ecaj_0222
up:Q1RGQ4	rbe:RBE_1379
up:A4X8U5	stp:Strop_2854
up:Q66II3	xtr:493492
up:Q60631	mmu:14784
up:P62994	rno:81504
up:Q6GPJ9	xla:444095
up:Q07883	gga:386572
up:P87379	xla:399458
up:Q08012	dme:Dmel_CG6033
up:P29355	cel:CELE_C14F5.5
up:A6QLK6	bta:534491
up:Q13588	hsa:10750
up:B0BNE5	rno:290401
up:Q9R0P3	mmu:13885
up:P10768	hsa:2098
up:Q08E20	bta:535653
up:Q9GJT2	ssc:397127
up:Q8LAS8	ath:AT2G41530
up:Q5RFH3	pon:100174205
up:P22392	hsa:4831
up:P22392	hsa:654364
up:Q01768	mmu:18103
up:P19804	rno:83782
up:Q3T0Q4	bta:615447
up:Q50KA8	cfa:480559
up:P70011	xla:399333
up:Q90380	clv:102089990
up:O57535	gga:395916
up:Q05982	rno:191575
up:Q2EN76	ssc:733683
up:P08879	dme:Dmel_CG2210
up:P15532	mmu:18102
up:Q50KA9	cfa:480558
up:P15531	hsa:4830
up:P74494	syn:sll1852
up:Q13232	hsa:4832
up:Q9WV85	mmu:79059
up:Q7Z8P9	afm:AFUA_5G03490
up:Q5N1M1	syc:syc1609_d
up:Q9UUY8	ncr:NCU04202
up:B0C4I0	amr:AM1_3733
up:B2IX22	npu:Npun_R6278
up:B0TBN6	hmo:HM1_0677
up:P39207	ath:AT4G09320
up:Q116S1	ter:Tery_1141
up:B8HUM7	cyn:Cyan7425_3912
up:Q8TFN0	ani:AN8216.2
up:Q8YRP2	ana:alr3402
up:Q8DM56	tel:tlr0267
up:B0JHT4	mar:MAE_56740
up:Q2JPL4	cyb:CYB_0270
up:Q3AFJ7	chy:CHY_0215
up:Q7NMQ5	gvi:glr0710
up:A5D5U8	pth:PTH_0199
up:Q3IPM6	nph:NP_3666A
up:B1I1P4	dau:Daud_0088
up:A2BZG4	pme:NATL1_00601
up:Q46I11	pmn:PMN2A_1379
up:Q56E62	nta:107790563
up:A5GPE9	syx:SynWH7803_2388
up:Q39839	gmx:547870
up:Q0I6J3	syg:sync_2741
up:P36010	sce:YKL067W
up:Q5V5M1	hma:rrnAC0106
up:Q5KXU2	gka:GK2209
up:Q75DD1	ago:AGOS_ABR096C
up:Q07661	osa:4343275
up:Q3AVV5	sye:Syncc9902_2171
up:Q8CSI0	sep:SE1156
up:Q7VEG3	pma:Pro_0050
up:P49740	spo:SPAC806.07
up:Q49XS3	ssp:SSP1277
up:B8FZD1	dhd:Dhaf_0146
up:Q251Q1	dsy:DSY0202
up:A2STK8	mla:Mlab_1500
up:B9DNV3	sca:SCA_1101
up:P84040	dme:Dmel_CG31611
up:P84040	dme:Dmel_CG3379
up:P84040	dme:Dmel_CG33869
up:P84040	dme:Dmel_CG33871
up:P84040	dme:Dmel_CG33873
up:P84040	dme:Dmel_CG33875
up:P84040	dme:Dmel_CG33877
up:P84040	dme:Dmel_CG33879
up:P84040	dme:Dmel_CG33881
up:P84040	dme:Dmel_CG33883
up:P84040	dme:Dmel_CG33885
up:P84040	dme:Dmel_CG33887
up:P84040	dme:Dmel_CG33889
up:P84040	dme:Dmel_CG33891
up:P84040	dme:Dmel_CG33893
up:P84040	dme:Dmel_CG33895
up:P84040	dme:Dmel_CG33897
up:P84040	dme:Dmel_CG33899
up:P84040	dme:Dmel_CG33901
up:P84040	dme:Dmel_CG33903
up:P84040	dme:Dmel_CG33905
up:P84040	dme:Dmel_CG33907
up:P84040	dme:Dmel_CG33909
up:P59259	ath:AT1G07660
up:P59259	ath:AT1G07820
up:P59259	ath:AT2G28740
up:P59259	ath:AT3G45930
up:P59259	ath:AT3G46320
up:P59259	ath:AT3G53730
up:P59259	ath:AT5G59690
up:P59259	ath:AT5G59970
up:P35057	sly:101248209
up:P35057	sly:101256941
up:P35057	sly:101260642
up:P35057	sly:544080
up:P35057	sly:544081
up:P50566	cre:CHLREDRAFT_100020
up:P50566	cre:CHLREDRAFT_100662
up:P50566	cre:CHLREDRAFT_100611
up:P50566	cre:CHLREDRAFT_106054
up:P50566	cre:CHLREDRAFT_110341
up:P50566	cre:CHLREDRAFT_112470
up:P50566	cre:CHLREDRAFT_112559
up:P50566	cre:CHLREDRAFT_112822
up:P50566	cre:CHLREDRAFT_114706
up:P50566	cre:CHLREDRAFT_115475
up:P50566	cre:CHLREDRAFT_121757
up:P50566	cre:CHLREDRAFT_121805
up:P50566	cre:CHLREDRAFT_121845
up:P50566	cre:CHLREDRAFT_123650
up:P50566	cre:CHLREDRAFT_124889
up:P50566	cre:CHLREDRAFT_144564
up:P50566	cre:CHLREDRAFT_167163
up:P50566	cre:CHLREDRAFT_167195
up:P50566	cre:CHLREDRAFT_181346
up:P50566	cre:CHLREDRAFT_579
up:P50566	cre:CHLREDRAFT_653
up:P50566	cre:CHLREDRAFT_97581
up:P50566	cre:CHLREDRAFT_97613
up:P50566	cre:CHLREDRAFT_97616
up:P50566	cre:CHLREDRAFT_97647
up:P50566	cre:CHLREDRAFT_97742
up:P50566	cre:CHLREDRAFT_98022
up:P50566	cre:CHLREDRAFT_98181
up:P50566	cre:CHLREDRAFT_99975
up:P50566	cre:CHLREDRAFT_99976
up:P08436	vcn:VOLCADRAFT_102100
up:P08436	vcn:VOLCADRAFT_102370
up:P08436	vcn:VOLCADRAFT_55291
up:P08436	vcn:VOLCADRAFT_55394
up:P08436	vcn:VOLCADRAFT_55542
up:P08436	vcn:VOLCADRAFT_56769
up:P08436	vcn:VOLCADRAFT_57217
up:P08436	vcn:VOLCADRAFT_57294
up:P08436	vcn:VOLCADRAFT_63165
up:P08436	vcn:VOLCADRAFT_65854
up:P08436	vcn:VOLCADRAFT_67420
up:P08436	vcn:VOLCADRAFT_78755
up:P08436	vcn:VOLCADRAFT_88140
up:P23751	ani:AN2426.2
up:P23750	ani:AN0734.2
up:Q6ZXX3	uma:UMAG_02710
up:P04914	ncr:NCU00212
up:P04914	ncr:NCU01634
up:P09322	spo:SPAC1834.03c
up:P09322	spo:SPBC1105.12
up:P09322	spo:SPBC8D2.03c
up:Q8NIG3	cgr:CAGL0C04136g
up:Q8NIG3	cgr:CAGL0H09834g
up:Q8NIG3	cgr:CAGL0M06677g
up:P02309	sce:YBR009C
up:P02309	sce:YNL030W
up:Q757K0	ago:AGOS_ADL201W
up:Q757K0	ago:AGOS_AER012C
up:Q76NW2	ddi:DDB_G0276863
up:Q76NW2	ddi:DDB_G0277183
up:Q99525	hsa:8369
up:Q6P5M2	dre:393827
up:Q5ZJH5	gga:415359
up:Q9ERF3	mmu:66317
up:Q4V7A0	rno:363064
up:Q32LN7	bta:513208
up:Q9GZS3	hsa:80349
up:Q6PBD6	xtr:394466
up:Q6GMD2	xla:444484
up:Q24152	dme:Dmel_CG3738
up:P61024	hsa:1163
up:Q91879	xla:398059
up:O23249	ath:AT2G27960
up:Q9SJJ5	ath:AT2G27970
up:P56390	mmu:66197
up:P33552	hsa:1164
up:Q561T9	dre:550484
up:Q32PD8	bta:513036
up:O89013	mmu:230514
up:O95214	hsa:23484
up:Q9CQ74	mmu:68192
up:Q6PDU4	rno:361160
up:Q9JLS8	rno:56766
up:O15243	hsa:54741
up:B9TRX0	ssc:100270821
up:Q3SYT0	bta:613665
up:Q5PSV5	mgp:100303675
up:B3Y064	tru:100191072
up:P23403	xla:379094
up:P60868	rno:100359951
up:P60868	rno:100362149
up:P60868	rno:100362684
up:P60868	rno:122772
up:A1XQU9	ssc:414395
up:P55828	dme:Dmel_CG15693
up:P49200	ath:AT3G45030
up:P49200	ath:AT5G62300
up:Q9STY6	ath:AT3G47370
